date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2020-09-09,GOOG,77.8765,78.45,76.8026,35494080.0,77.848,3564847.1259654686,49.547074723108246,-22.240440376716705,7.722181505095473,38636422.666666664,36355888.666666664
2020-09-09,MSFT,200.144,207.126,199.292,47380218.330785,203.716,4327870.357913047,51.645686986732805,57.306452867610865,2.4911206819642606,36863800.3076734,36701458.15355407
2020-09-10,AAPL,116.973,117.101,109.333,187568354.0,110.293,11543204.177535534,49.99650750290159,-27.996002144800407,7.503594877347364,210561549.43333334,176028041.45
2020-09-10,GOOG,78.032,79.204,76.2902,32371140.0,76.601,2378850.1337138712,48.95296784198888,-48.03608438365241,12.081127495667843,38977771.333333336,36324869.666666664
2020-09-10,MSFT,205.73,207.029,196.773,36782213.816435,197.995,3452776.337162353,49.75078663083571,-3.544416652071143,7.141495160664456,37409440.49039677,36577023.306709446
2020-09-11,AAPL,111.337,111.973,106.897,186113217.0,108.84,8166665.22334066,49.94702722959022,-31.025089840811304,13.445839308353186,211331452.33333334,177164235.26666668
2020-09-11,GOOG,76.8,78.76,74.868,31941740.0,76.036,1388286.7277757525,48.869617543268006,-50.59754869300039,2.334399653377318,38928232.0,36340693.666666664
2020-09-11,MSFT,199.771,201.13,194.018,34872190.108275,196.696,2575447.1100220084,49.41277667499465,-16.309247750436686,12.045586282921333,37702629.42497107,36713077.7206558
2020-09-14,AAPL,111.483,112.652,109.625,144220596.0,112.103,2086303.5936246514,48.51700332765052,-81.18429852800375,11.315073006199361,203276774.06666666,177904377.38333333
2020-09-14,GOOG,76.9503,78.2,75.787,33931780.0,75.964,755132.8151213601,49.28361667685184,-31.93965104399676,2.334399653377318,37773267.333333336,36378918.0
2020-09-14,MSFT,196.9,201.677,196.696,31507057.817575,198.034,1590287.787437342,48.8083957974033,-32.97975908643416,10.803590567934634,36976694.677361235,36838556.025802106
2020-09-15,AAPL,114.989,115.469,110.401,190004769.0,112.268,951006.9138344824,50.13122599389137,-13.576775438276293,2.755845811490899,199021164.4,176526991.4
2020-09-15,GOOG,76.8,77.9785,76.5918,26621640.0,77.072,-332677.9023960382,47.81249385441038,-88.69409475534285,2.33439965337731,37106312.666666664,35769987.0
2020-09-15,MSFT,200.924,202.243,199.518,22636735.015148,201.267,92713.02500680834,47.23304267388143,-86.60949920129055,9.461506973172726,34993831.774692066,36445706.64495661
2020-09-16,AAPL,111.973,112.721,108.88,159529259.0,108.968,-2380400.68441844,49.07175259410855,-57.88414389480439,6.888143750036201,198401088.63333333,176858638.55
2020-09-16,GOOG,77.777,78.1,75.991,26245980.0,76.045,-1211127.1946115792,47.73674228123428,-86.36237549126086,2.060457432885565,36712186.0,35693273.333333336
2020-09-16,MSFT,203.063,203.092,197.292,27354656.535426,197.681,-705299.0310485289,48.15377849600259,-50.36720987994252,13.84844288556529,34197688.2600579,36332892.6108591
2020-09-17,AAPL,106.62,109.036,105.64,183181105.0,107.23,-3076595.4964745343,49.921462509243106,-26.417790444546622,15.102999846306858,200315078.1,176266474.66666666
2020-09-17,GOOG,74.8,75.4149,73.5,37595020.0,74.7765,-980233.1982492656,50.202472021781915,7.923269524063363,17.72138809306434,36645382.0,35843269.0
2020-09-17,MSFT,192.867,196.988,192.779,35277944.562177,195.621,-690427.948421374,49.67922948306584,6.716950017561327,22.035516646109752,34373427.551256165,36385084.5177696
2020-09-18,AAPL,107.288,107.742,103.104,295443535.0,103.83,5368413.760494381,53.71338966200079,131.64721474275123,20.939124127260012,203207068.83333334,177880944.8
2020-09-18,GOOG,74.9005,75.1502,71.8565,62077640.0,72.9995,1164865.3029451966,54.94602872317377,183.2034386463427,26.060083804632754,37384391.333333336,36292555.666666664
2020-09-18,MSFT,195.533,196.324,189.204,57282092.089628,193.198,1084406.4685840905,53.60124939977531,150.59229038253355,27.842139611831033,35150998.32376157,36703100.95494725
2020-09-21,AAPL,101.585,107.083,100.196,201398113.0,106.973,4421502.273159802,50.40577346900232,-2.4667399719539795,27.083357448762502,203127084.83333334,178874715.61666667
2020-09-21,GOOG,72.003,72.418,70.3275,57776540.0,71.558,2489115.7658544406,54.0110032107149,132.68489667984434,32.83006653743733,38258392.0,36845340.0
